City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,The Valley,AI,87.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
3,Adiake,CI,84.2,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
6,Vanimo,PG,76.41,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
7,Vao,NC,77.11,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
8,Sola,VU,82.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
13,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
15,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
16,Rikitea,PF,77.5,clear sky,-23.1203,-134.9692,Pension Maro'i
25,Kavieng,PG,81.79,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Isangel,VU,78.6,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
32,Saint-Philippe,RE,75.2,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
39,Vila Velha,BR,82.4,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
46,Hilo,US,78.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
48,Les Cayes,HT,84.36,few clouds,18.2,-73.75,Villa Orphee
51,Tactic,GT,80.6,broken clouds,15.3333,-90.3,Estacionamiento manantial
53,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
55,Gbarnga,LR,78.51,overcast clouds,6.9956,-9.4722,Passion Hotel 2
56,Chhindwara,IN,82.38,clear sky,22.0667,78.9333,STARiHOTELS Chhindwara
64,Carnarvon,AU,75.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
68,Guane,CU,88.2,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
80,Port-Gentil,GA,81.46,overcast clouds,-0.7193,8.7815,Fengshui Residence
81,El Limon,VE,87.84,overcast clouds,10.3059,-67.6321,Campamento Valle Beraca
85,Puerto Ayora,EC,82.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Butaritari,KI,82.94,broken clouds,3.0707,172.7902,Isles Sunset Lodge
88,Hobyo,SO,83.08,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
89,Kavaratti,IN,83.66,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
90,Tiarei,PF,84.2,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
93,Gat,IL,80.01,clear sky,31.61,34.7642,OlusHome
95,San Pablo,PH,81.0,overcast clouds,14.0669,121.3258,SIESTA RESIDENCIA DE ARAGO
102,Kieta,PG,79.74,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
104,Lompoc,US,80.01,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
106,Pizarro,CO,82.53,overcast clouds,4.9533,-77.366,Hotel Limonar
109,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
110,Manokwari,ID,77.99,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
113,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
115,Birao,CF,84.81,overcast clouds,10.2849,22.7882,
121,Hithadhoo,MV,82.4,clear sky,-0.6,73.0833,Scoop Guest House
124,Mulege,MX,79.61,clear sky,26.8833,-111.9833,Casa Granada
129,Thaton,MM,78.51,clear sky,16.9206,97.3714,Tain Pyar Guest House
130,Itaituba,BR,78.8,few clouds,-4.2761,-55.9836,Hotel Campos
132,Port Alfred,ZA,75.06,clear sky,-33.5906,26.891,The Halyards Hotel
141,Kirakira,SB,80.33,broken clouds,-10.4544,161.9205,SanBiz Lodge
142,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
145,Tautira,PF,84.2,few clouds,-17.7333,-149.15,Pension Oaoa
