City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.1333,167.6833,53.01,89,66,3.0,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,48.2,87,0,5.75,clear sky
2,The Valley,AI,18.217,-63.0578,87.8,69,20,12.66,few clouds
3,Adiake,CI,5.2863,-3.304,84.2,79,20,6.91,few clouds
4,Antofagasta,CL,-23.65,-70.4,70.0,72,20,13.8,few clouds
5,Lander,US,42.833,-108.7307,61.0,23,1,5.73,clear sky
6,Vanimo,PG,-2.6741,141.3028,76.41,86,100,2.01,overcast clouds
7,Vao,NC,-22.6667,167.4833,77.11,77,55,9.53,heavy intensity rain
8,Sola,VU,-13.8833,167.55,82.62,72,99,7.34,overcast clouds
9,Vestmannaeyjar,IS,63.4427,-20.2734,40.48,53,78,23.51,broken clouds
10,Pisco,PE,-13.7,-76.2167,71.6,73,0,8.05,clear sky
11,Bethel,US,41.3712,-73.414,59.0,53,73,5.99,broken clouds
12,Ushuaia,AR,-54.8,-68.3,57.2,51,20,9.22,few clouds
13,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,75,12.66,moderate rain
14,Copperas Cove,US,31.1241,-97.9031,68.0,41,90,11.5,overcast clouds
15,Bathsheba,BB,13.2167,-59.5167,86.0,51,40,21.85,scattered clouds
16,Rikitea,PF,-23.1203,-134.9692,77.5,74,4,8.93,clear sky
17,Bilibino,RU,68.0546,166.4372,20.82,95,100,8.61,snow
18,Vaini,TO,-21.2,-175.2,68.0,94,20,2.3,few clouds
19,Brownsville,US,25.9018,-97.4975,69.8,52,90,18.41,overcast clouds
20,Khandagayty,RU,50.7333,92.05,38.48,44,10,2.91,clear sky
21,Ancud,CL,-41.8697,-73.8203,53.6,100,90,8.05,moderate rain
22,Narsaq,GL,60.9167,-46.05,32.0,27,40,9.22,scattered clouds
23,Castro,BR,-24.7911,-50.0119,65.57,79,71,5.37,broken clouds
24,Dikson,RU,73.5069,80.5464,-10.53,100,100,1.79,overcast clouds
25,Kavieng,PG,-2.5744,150.7967,81.79,74,98,3.87,overcast clouds
26,Esperance,AU,-33.8667,121.9,51.8,87,0,8.05,clear sky
27,Qaanaaq,GL,77.484,-69.3632,6.51,74,100,5.1,overcast clouds
28,Lusambo,CD,-4.9667,23.45,74.41,83,100,3.11,overcast clouds
29,Busselton,AU,-33.65,115.3333,59.9,83,69,6.33,broken clouds
30,Kodiak,US,57.79,-152.4072,44.6,87,90,10.36,light rain
31,Isangel,VU,-19.55,169.2667,78.6,84,26,8.61,scattered clouds
32,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,90,11.5,overcast clouds
33,Nikolskoye,RU,59.7035,30.7861,48.2,49,0,8.95,clear sky
34,Roma,US,43.2128,-75.4557,59.0,44,20,10.36,few clouds
35,Avarua,CK,-21.2078,-159.775,80.6,78,20,13.8,light rain
36,Sivaki,RU,52.6333,126.75,31.64,65,60,17.56,broken clouds
37,Huarmey,PE,-10.0681,-78.1522,73.0,75,43,9.86,scattered clouds
38,Mataura,NZ,-46.1927,168.8643,53.01,89,90,3.0,overcast clouds
39,Vila Velha,BR,-20.3297,-40.2925,82.4,74,20,13.8,few clouds
40,Lahaina,US,20.8783,-156.6825,71.6,100,40,8.05,scattered clouds
41,Gobabis,NA,-22.45,18.9667,66.69,43,98,11.14,overcast clouds
42,Bluff,NZ,-46.6,168.3333,53.01,89,69,3.0,broken clouds
43,Hofn,IS,64.2539,-15.2082,40.48,70,1,30.06,clear sky
44,Talnakh,RU,69.4865,88.3972,-17.16,88,77,2.01,broken clouds
45,Bakel,SN,14.905,-12.4568,98.08,18,9,6.62,clear sky
46,Hilo,US,19.7297,-155.09,78.8,57,1,3.44,clear sky
47,Ginda,IN,30.6945,78.4932,49.6,49,3,8.72,clear sky
48,Les Cayes,HT,18.2,-73.75,84.36,58,15,13.13,few clouds
